number_electoral_district,name_electoral_district,number_federal_state,federal_state
127,Coesfeld - Steinfurt II,05,Nordrhein-Westfalen
128,Steinfurt III,05,Nordrhein-Westfalen
129,Münster,05,Nordrhein-Westfalen
130,Warendorf,05,Nordrhein-Westfalen
131,Gütersloh I,05,Nordrhein-Westfalen
132,Bielefeld - Gütersloh II,05,Nordrhein-Westfalen
133,Herford - Minden-Lübbecke II,05,Nordrhein-Westfalen
134,Minden-Lübbecke I,05,Nordrhein-Westfalen
135,Lippe I,05,Nordrhein-Westfalen
136,Höxter - Gütersloh III - Lippe II,05,Nordrhein-Westfalen
137,Paderborn,05,Nordrhein-Westfalen
138,Hagen - Ennepe-Ruhr-Kreis I,05,Nordrhein-Westfalen
139,Ennepe-Ruhr-Kreis II,05,Nordrhein-Westfalen
140,Bochum I,05,Nordrhein-Westfalen
141,Herne - Bochum II,05,Nordrhein-Westfalen
142,Dortmund I,05,Nordrhein-Westfalen
143,Dortmund II,05,Nordrhein-Westfalen
144,Unna I,05,Nordrhein-Westfalen
145,Hamm - Unna II,05,Nordrhein-Westfalen
146,Soest,05,Nordrhein-Westfalen
147,Hochsauerlandkreis,05,Nordrhein-Westfalen
148,Siegen-Wittgenstein,05,Nordrhein-Westfalen
149,Olpe - Märkischer Kreis I,05,Nordrhein-Westfalen
150,Märkischer Kreis II,05,Nordrhein-Westfalen
151,Nordsachsen,14,Sachsen
152,Leipzig I,14,Sachsen
153,Leipzig II,14,Sachsen
154,Leipzig-Land,14,Sachsen
155,Meißen,14,Sachsen
156,Bautzen I,14,Sachsen
157,Görlitz,14,Sachsen
158,Sächsische Schweiz-Osterzgebirge,14,Sachsen
159,Dresden I,14,Sachsen
160,Dresden II - Bautzen II,14,Sachsen
161,Mittelsachsen,14,Sachsen
162,Chemnitz,14,Sachsen
163,Chemnitzer Umland - Erzgebirgskreis II,14,Sachsen
164,Erzgebirgskreis I,14,Sachsen
165,Zwickau,14,Sachsen
166,Vogtlandkreis,14,Sachsen
167,Waldeck,06,Hessen
168,Kassel,06,Hessen
169,Werra-Meißner - Hersfeld-Rotenburg,06,Hessen
170,Schwalm-Eder,06,Hessen
171,Marburg,06,Hessen
172,Lahn-Dill,06,Hessen
173,Gießen,06,Hessen
174,Fulda,06,Hessen
175,Main-Kinzig - Wetterau II - Schotten,06,Hessen
176,Hochtaunus,06,Hessen
177,Wetterau I,06,Hessen
178,Rheingau-Taunus - Limburg,06,Hessen
179,Wiesbaden,06,Hessen
180,Hanau,06,Hessen
181,Main-Taunus,06,Hessen
182,Frankfurt am Main I,06,Hessen
183,Frankfurt am Main II,06,Hessen
184,Groß-Gerau,06,Hessen
185,Offenbach,06,Hessen
186,Darmstadt,06,Hessen
187,Odenwald,06,Hessen
188,Bergstraße,06,Hessen
189,Eichsfeld - Nordhausen - Kyffhäuserkreis,16,Thüringen
190,Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis,16,Thüringen
191,Jena - Sömmerda - Weimarer Land I,16,Thüringen
192,Gotha - Ilm-Kreis,16,Thüringen
193,Erfurt - Weimar - Weimarer Land II,16,Thüringen
194,Gera - Greiz - Altenburger Land,16,Thüringen
195,Saalfeld-Rudolstadt - Saale-Holzland-Kreis - Saale-Orla-Kreis,16,Thüringen
196,Suhl - Schmalkalden-Meiningen - Hildburghausen - Sonneberg,16,Thüringen
197,Neuwied,07,Rheinland-Pfalz
198,Ahrweiler,07,Rheinland-Pfalz
199,Koblenz,07,Rheinland-Pfalz
200,Mosel/Rhein-Hunsrück,07,Rheinland-Pfalz
201,Kreuznach,07,Rheinland-Pfalz
202,Bitburg,07,Rheinland-Pfalz
203,Trier,07,Rheinland-Pfalz
204,Montabaur,07,Rheinland-Pfalz
205,Mainz,07,Rheinland-Pfalz
206,Worms,07,Rheinland-Pfalz
207,Ludwigshafen/Frankenthal,07,Rheinland-Pfalz
