state,county,year_short,candidate_votes,party,county_fips,year
ALABAMA,CONECUH,2016,3420,REPUBLICAN,01035,1970-01-01 00:00:00.000002016
ALABAMA,CONECUH,2020,3442,REPUBLICAN,01035,1970-01-01 00:00:00.000002020
ALABAMA,COOSA,2000,2382,REPUBLICAN,01037,1970-01-01 00:00:00.000002000
ALABAMA,COOSA,2004,2905,REPUBLICAN,01037,1970-01-01 00:00:00.000002004
ALABAMA,COOSA,2008,3248,REPUBLICAN,01037,1970-01-01 00:00:00.000002008
ALABAMA,COOSA,2012,3049,REPUBLICAN,01037,1970-01-01 00:00:00.000002012
ALABAMA,COOSA,2016,3381,REPUBLICAN,01037,1970-01-01 00:00:00.000002016
ALABAMA,COOSA,2020,3631,REPUBLICAN,01037,1970-01-01 00:00:00.000002020
ALABAMA,COVINGTON,2000,8961,REPUBLICAN,01039,1970-01-01 00:00:00.000002000
ALABAMA,COVINGTON,2004,11119,REPUBLICAN,01039,1970-01-01 00:00:00.000002004
ALABAMA,COVINGTON,2008,12444,REPUBLICAN,01039,1970-01-01 00:00:00.000002008
ALABAMA,COVINGTON,2012,12153,REPUBLICAN,01039,1970-01-01 00:00:00.000002012
ALABAMA,COVINGTON,2016,13267,REPUBLICAN,01039,1970-01-01 00:00:00.000002016
ALABAMA,COVINGTON,2020,14586,REPUBLICAN,01039,1970-01-01 00:00:00.000002020
ALABAMA,CRENSHAW,2000,2793,REPUBLICAN,01041,1970-01-01 00:00:00.000002000
ALABAMA,CRENSHAW,2004,3777,REPUBLICAN,01041,1970-01-01 00:00:00.000002004
ALABAMA,CRENSHAW,2008,4319,REPUBLICAN,01041,1970-01-01 00:00:00.000002008
ALABAMA,CRENSHAW,2012,4331,REPUBLICAN,01041,1970-01-01 00:00:00.000002012
ALABAMA,CRENSHAW,2016,4513,REPUBLICAN,01041,1970-01-01 00:00:00.000002016
ALABAMA,CRENSHAW,2020,4864,REPUBLICAN,01041,1970-01-01 00:00:00.000002020
ALABAMA,CULLMAN,2000,19157,REPUBLICAN,01043,1970-01-01 00:00:00.000002000
ALABAMA,CULLMAN,2004,26818,REPUBLICAN,01043,1970-01-01 00:00:00.000002004
ALABAMA,CULLMAN,2008,28896,REPUBLICAN,01043,1970-01-01 00:00:00.000002008
ALABAMA,CULLMAN,2012,28999,REPUBLICAN,01043,1970-01-01 00:00:00.000002012
ALABAMA,CULLMAN,2016,32989,REPUBLICAN,01043,1970-01-01 00:00:00.000002016
ALABAMA,CULLMAN,2020,36880,REPUBLICAN,01043,1970-01-01 00:00:00.000002020
ALABAMA,DALE,2000,10593,REPUBLICAN,01045,1970-01-01 00:00:00.000002000
